Date,AAPL,UBER,WMT,JPM,MSFT,UNH,SPY
1/2/2020 16:00:00,75.09,30.99,39.65,141.09,160.62,292.5,324.87
1/3/2020 16:00:00,74.36,31.37,39.3,138.34,158.62,289.54,322.41
1/6/2020 16:00:00,74.95,31.58,39.22,138.23,159.03,291.55,323.64
1/7/2020 16:00:00,74.6,32.81,38.85,135.88,157.58,289.79,322.73
1/8/2020 16:00:00,75.8,33.93,38.72,136.94,160.09,295.9,324.45
1/9/2020 16:00:00,77.41,33.97,39.12,137.44,162.09,294.22,326.65
1/10/2020 16:00:00,77.58,34.01,38.79,136.07,161.34,295.13,325.71
1/13/2020 16:00:00,79.24,34.14,38.63,137.2,163.28,285.85,327.95
1/14/2020 16:00:00,78.17,34.84,38.73,138.8,162.13,288.24,327.45
1/15/2020 16:00:00,77.83,35.01,38.43,136.72,163.18,296.41,328.19
1/16/2020 16:00:00,78.81,34.68,38.63,137.25,166.17,300.74,330.92
1/17/2020 16:00:00,79.68,35.13,38.32,138.2,167.1,298.47,331.95
1/21/2020 16:00:00,79.14,37.6,38.53,136.84,166.5,300.53,331.3
1/22/2020 16:00:00,79.43,37.04,38.7,136.68,165.7,300.59,331.34
1/23/2020 16:00:00,79.81,37.4,38.6,136.54,166.72,299.46,331.72
1/24/2020 16:00:00,79.58,36.8,38.12,133.15,165.04,292.81,328.77
1/27/2020 16:00:00,77.24,36.3,38.62,132.03,162.28,284.09,323.5
1/28/2020 16:00:00,79.42,37.01,38.87,134.43,165.46,285.87,326.89
1/29/2020 16:00:00,81.08,36.99,38.63,134.23,168.04,282.9,326.62
1/30/2020 16:00:00,80.97,36.68,38.86,135.89,172.78,280.98,327.68
1/31/2020 16:00:00,77.38,36.29,38.16,132.36,170.23,272.45,321.73
2/3/2020 16:00:00,77.17,37.59,38.09,133.37,174.38,274.02,324.12
2/4/2020 16:00:00,79.71,38.53,38.42,135.29,180.12,280.84,329.06
2/5/2020 16:00:00,80.36,36.81,38.94,137.59,179.9,295.73,332.86
2/6/2020 16:00:00,81.3,37.09,38.77,137.61,183.63,292.46,333.98
2/7/2020 16:00:00,80.01,40.63,38.82,137.17,183.89,289.22,332.2
2/10/2020 16:00:00,80.39,40.01,38.42,137.74,188.7,287.03,334.68
2/11/2020 16:00:00,79.9,41.27,38.47,138,184.44,290.79,335.26
2/12/2020 16:00:00,81.8,41.25,38.62,138,184.71,303.48,337.42
2/13/2020 16:00:00,81.22,40.09,39.15,137.88,183.71,302.2,337.06
2/14/2020 16:00:00,81.24,39.66,39.3,137.46,185.35,298.78,337.6
2/18/2020 16:00:00,79.75,40.18,39.88,135.64,187.23,302.14,336.73
2/19/2020 16:00:00,80.91,41.05,39.23,137.49,187.28,305.31,338.34
